Station ID,Mean MLS,Mean BLS,STD MLS,STD BLS,Lon,Lat,Depth [m], Dates           ,Winter IG [mm],Summer IG [mm],Winter Power 120 s,Summer Power 120 s,Winter Power 250 s,Summer Power 250 s,Winter Power 800 s,Summer Power 800 s,DART Station ID
46402,1.7428136783842200,-4.117613462079270,0.19179684049358400,0.29668277279433300,-163.948,50.978,4772,2010/01/01-2016/12/31,10.083,6.768,-44.5308494567871,-49.5182037353516,-41.5147361755371,-46.7800140380859,-40.8934669494629,-41.5163192749023,46402
46408,1.738384266115630,-4.107982258517560,0.14836703403518400,0.3263742580814540,-169.900,49.662,5415,2010/01/01-2016/12/31,10.078,7.331,-45.4331283569336,-50.0546722412109,-41.4415855407715,-46.6054763793945,-40.9104347229004,-41.4822082519531,46408
46410,1.449581535633110,-3.778191125303730,0.20936243591975000,0.4434272259152610,-143.750,57.632,3755,2009/01/01-2013/06/30,14.627,7.582,-40.9217338562012,-47.4089813232422,-39.4853324890137,-45.8232154846191,-40.4677391052246,-41.738525390625,46410
46415,1.8892993948244100,-4.345902300560140,0.21616351416006200,0.35737993259888600,-139.880,53.037,3607,2019/01/01-2021/12/31,14.152,7.138,-41.0370254516602,-48.7056655883789,-39.0826644897461,-46.7638244628906,-39.9627342224121,-41.7388000488281,46415
46414,1.7807286821225500,-4.256447416946560,0.19546540982739500,0.3096818051734000,-152.416,53.764,4736,2019/01/01-2021/12/31,10.752,6.509,-44.3057441711426,-50.7706985473633,-41.0221519470215,-47.7568969726563,-40.5784034729004,-42.2969741821289,46414
46409,1.7034389226972600,-4.11340124833308,0.21112780537726600,0.3851394392222770,-148.550,55.310,4224,2006/01/01-2020/12/31,12.327,6.769,-42.6706008911133,-48.9586181640625,-40.0237197875977,-46.6105918884277,-40.5790901184082,-41.8068504333496,46409
46403,1.701358661869310,-4.115393264097660,0.127176481125431,0.30650974169153600,-156.778,52.663,4522,2010/01/01-2017/12/31,10.636,6.702,-43.5219268798828,-49.325813293457,-41.2418479919434,-46.6702842712402,-40.9366035461426,-41.745735168457,46403
46407,1.904607101639320,-4.253696988546860,0.22293376626594800,0.39519715094230500,-128.835,42.705,3300,2010/01/01-2022/04/30,19.395,7.867,-38.1678848266602,-46.7797050476074,-37.5112419128418,-45.7817878723145,-39.0371017456055,-41.0157737731934,46407
46419,1.6586522688329500,-3.8984591495732700,0.20730041595631700,0.42463778168092700,-129.622,48.805,2795,2007/01/01-2021/12/31,17.979,8.336,-38.5462951660156,-46.8642578125,-37.8531227111816,-45.6749877929688,-39.0146522521973,-40.4861946105957,46419
46404,1.7644359993858900,-3.9899237752747200,0.23965929237202900,0.4296171529583170,-128.775,45.848,3738,2006/01/01-2022/04/30,21.853,8.624,-36.6847152709961,-45.8772811889648,-35.6933746337891,-44.7375183105469,-37.9778480529785,-40.2835655212402,46404
46411,1.7040119287497000,-4.063342447215370,0.20541870554574000,0.3713389035502450,-127.070,39.340,4325,2006/01/01-2022/12/31,13.276,7.035,-41.7877883911133,-48.7167129516602,-40.2132415771484,-46.3073310852051,-40.308952331543,-41.4380569458008,46411
43413,1.8551693926236800,-4.070469353619620,0.16250135182298600,0.3664966443295880,-100.083,11.012,3741,2009/01/01-2021/12/31,9.729,12.707,-44.800708770752,-42.4220848083496,-42.7249603271484,-41.2832260131836,-40.4932174682617,-38.1048126220703,43413
46412,2.1563207613373500,-4.6425361661338900,0.17845026021692200,0.33195430895003300,-120.582,32.400,3751,2008/01/01-2017/12/31,10.731,7.853,-43.9069061279297,-47.6509704589844,-41.9092063903809,-45.3172988891602,-41.0940246582031,-41.1073608398438,46412
43412,1.9338438091011900,-4.265133788577940,0.1548644378220400,0.30322498128254100,-106.967,16.045,3142,2008/01/01-2021/12/31,9.599,12.636,-44.4244537353516,-42.4729232788086,-42.8040466308594,-41.7675476074219,-40.6857872009277,-38.4479179382324,43412
51406,1.8581070827675700,-4.193723700464100,0.1654705635774970,0.3755945487897300,-125.027,-8.480,4450,2006/01/01-2013/12/31,9.065,10.454,-45.2429428100586,-45.2835350036621,-42.5790214538574,-42.4067802429199,-40.9874114990234,-38.8504333496094,51406
51407,2.692838717776810,-5.377618569041360,0.21925768071759500,0.42936797257927300,-156.538,19.556,4793,2006/01/01-2021/12/31,7.544,6.581,-48.236385345459,-50.0761795043945,-44.5552406311035,-46.5733413696289,-42.2611961364746,-42.284049987793,51407
21415,1.6886144018179800,-4.028025181506430,0.1361367328912090,0.26324480561955900,171.897,50.153,4805,2008/01/01-2020/12/31,10.704,6.668,-44.8752403259277,-49.890380859375,-41.4848213195801,-47.2086219787598,-40.0831336975098,-41.3330230712891,21415
21413,1.9593901211372300,-4.401311353011170,0.14933853462356800,0.28984016202723600,152.132,30.533,5880,2008/01/01-2020/12/31,8.169,5.769,-47.351806640625,-51.2165107727051,-43.6573448181152,-48.7017440795898,-40.7538528442383,-42.1654853820801,21413
21418,1.946097695845560,-4.359058905802330,0.1439357439675720,0.2715911007554900,148.655,38.735,5777,2008/01/01-2020/09/30,8.046,5.941,-47.9015655517578,-51.2399101257324,-44.0997772216797,-48.7446708679199,-40.8574867248535,-42.0025329589844,21418
21416,1.7888251404621500,-4.1473718977571300,0.20212462513753500,0.40535549304838100,163.435,48.110,5812,2008/01/01-2020/12/31,9.507,6.185,-46.4361953735352,-50.80126953125,-42.4066619873047,-48.2191390991211,-40.6330718994141,-41.9855346679688,21416
21419,1.7967782569267300,-4.1136514674651600,0.16329834655702500,0.3931930710978240,155.717,44.435,5282,2010/01/01-2020/12/31,8.804,6.362,-47.0388488769531,-51.3205032348633,-43.2252006530762,-48.6270065307617,-40.3838348388672,-41.5448875427246,21419
21414,1.7557258325504700,-4.132034652333370,0.16192265387808900,0.3476365895818150,178.237,48.963,5463,2008/01/01-2020/12/31,10.286,6.522,-45.2094841003418,-50.458423614502,-41.3044128417969,-47.6289176940918,-40.6105651855469,-41.9000968933106,21414
21420,2.031065798400510,-4.476669680999260,0.19439293582933200,0.3544081805431680,134.999,28.910,4877,2019/12/01-2021/12/31,7.701,4.98,-48.8362884521484,-54.6059036254883,-45.6073379516602,-52.6140823364258,-40.4150848388672,-42.6558456420898,21420
51426,1.8358534123408100,-4.161463475838770,0.2566545712339740,0.5826368446972670,-168.385,-23.110,5608,2008/06/01-2013/12/31,7.352,8.609,-47.915828704834,-47.1101570129395,-44.7204437255859,-43.5585403442383,-41.500129699707,-39.5902214050293,51426
51425,1.944804687749290,-4.399838741431610,0.16967495818072700,0.31527002200538900,-176.262,-9.505,4890,2008/06/01-2018/07/31,8.116,7.462,-47.1003646850586,-48.326530456543,-43.8607406616211,-45.1678695678711,-41.4625015258789,-41.0022163391113,51425
52406,2.2584231084343500,-4.488892383086970,0.17862439450636900,0.30574828586565100,164.990,-5.373,1807,2011/01/01-2017/12/31,13.58,11.618,-41.5958251953125,-43.8655319213867,-40.9620361328125,-42.9922904968262,-38.5530891418457,-38.3483085632324,52406
52402,1.9765199052363900,-4.441654196679000,0.15017420299759000,0.3626637997912600,153.909,11.929,5886,2008/01/01-2015/12/31,7.232,6.101,-48.06884765625,-50.5684318542481,-44.8627090454102,-48.2103462219238,-41.5058746337891,-41.971076965332,52402
52401,1.9923046799162600,-4.453859342571900,0.16332606785407200,0.33772367903519500,155.742,19.288,5610,2008/01/01-2015/12/31,8.211,6.189,-47.0424270629883,-50.3899154663086,-43.6543273925781,-47.9503631591797,-41.0598907470703,-41.5647125244141,52401
52404,1.9337147901924300,-4.410433345146030,0.19406587174746600,0.33093498626426400,132.145,20.627,5992,2008/01/01-2015/12/31,7.0,6.074,-48.9609909057617,-51.1313858032227,-45.7673988342285,-48.7799263000488,-41.3596839904785,-42.3841018676758,52404
52405,2.123556395029420,-4.679753725519430,0.1569646451312000,0.33757298512768100,132.157,13.042,5848,2008/01/01-2015/12/31,6.75,5.78,-49.0400047302246,-51.6221351623535,-45.9680023193359,-49.4055595397949,-42.0663681030273,-42.8605575561523,52405
52403,2.1721263176750900,-4.744717756148450,0.17553866797376000,0.3168604386435260,145.610,4.060,4480,2008/01/01-2015/12/31,7.269,5.712,-47.7688064575195,-51.8912315368652,-45.6018829345703,-49.7351951599121,-42.0896148681641,-42.4023323059082,52403
32411,1.8153906017228200,-4.077552018419490,0.16935455355360500,0.33897017417137300,-90.868,4.958,3273,2008/01/01-2022/12/31,9.276,12.56,-44.994255065918,-42.9577026367188,-43.1785125732422,-41.8178100585938,-40.7875900268555,-37.9024276733398,32411
32413,1.7865144604049400,-3.9702078680407400,0.14286597731554600,0.3884360625218120,-93.480,-7.430,4008,2011/01/01-2016/12/31,8.936,12.632,-45.6312866210938,-43.8480224609375,-43.2449378967285,-41.5316162109375,-40.7770156860352,-38.0061759948731,32413
32412,1.830508520316210,-4.120727396618370,0.1683644750027320,0.36875809949165100,-86.374,-17.984,4364,2008/01/01-2021/01/31,8.75,12.453,-45.7065315246582,-43.6222267150879,-43.4099082946777,-41.1312866210938,-40.9571266174316,-38.2809219360352,32412